Date,Open,High,Low,Close,Volume,Adj Close
2005-09-01,40.45,42.82,37.68,38.99999,274500,31.09277
2005-08-01,39.92,42.90,39.55,40.85001,320200,32.49771
2005-07-01,40.70,41.75,39.26999,39.85,468600,31.70216
2005-06-01,39.02,41.58,38.99999,40.81001,397800,32.46589
2005-05-02,77.19016,77.54017,37.45,38.75,752300,30.7594
2005-04-01,81.45017,83.67018,75.75016,77.19016,368000,0.77002
2005-03-01,87.75018,88.44018,80.03017,81.60017,306200,0.81401
2005-02-01,82.22017,87.50018,81.83016,87.50018,378800,0.87109
2005-01-03,77.20015,84.39017,76.60017,82.32018,464100,0.81953
2004-12-01,77.60017,81.64017,72.50014,76.95016,352000,0.76606
2004-11-01,75.00017,77.77017,72.00014,77.50017,402100,0.76987
2004-10-01,84.17018,85.25018,71.70015,74.90015,539200,0.74405
2004-09-01,77.10017,85.07018,77.05016,84.17018,325100,0.83613
2004-08-02,76.00016,78.40015,74.26016,77.10017,267600,0.76435
2004-07-01,71.28016,77.67017,68.40014,75.90016,413200,0.75246
2004-06-01,71.65014,72.34016,68.84014,71.20016,447600,0.70586
2004-05-03,66.00014,72.05016,64.90015,71.65014,669200,0.70865
2004-04-01,71.10014,72.42014,65.70013,65.96014,507400,0.65237
2004-03-01,72.30016,74.52014,66.70013,70.87016,567800,0.70094
2004-02-02,66.20013,73.25014,65.83013,72.05016,511200,0.71102
2004-01-02,62.45014,70.50015,62.06013,66.28014,761000,0.65407
2003-12-01,63.00013,63.79013,60.30012,62.55014,467700,0.61727
2003-11-03,62.85013,63.78014,60.05012,62.70014,369300,0.61717
2003-10-01,56.64012,64.02013,56.64012,62.60013,347000,0.61619
2003-09-02,57.75013,59.65012,56.40012,56.54011,395800,0.55654
2003-08-01,53.60012,58.95012,53.3801,57.42013,352000,0.56368
2003-07-01,49.9501,55.10011,49.85009,53.37012,344500,0.52393
2003-06-02,49.00011,51.23011,47.90011,49.7001,282100,0.4879
2003-05-01,43.09008,48.75011,42.10009,48.75011,360000,0.47707
2003-04-01,40.85007,44.30008,40.85007,43.09008,442700,0.42168
2003-03-03,40.20008,41.93008,35.31008,40.91008,453300,0.40035
2003-02-03,43.15009,44.2001,39.15009,40.07008,475400,0.39044
2003-01-02,47.25009,48.98011,41.2501,42.90009,611200,0.41801
2002-12-02,55.40012,57.00013,45.2001,47.02009,400400,0.45816
2002-11-01,50.85011,55.73011,49.9101,54.80012,465200,0.53247
2002-10-01,50.60012,53.50011,44.1001,50.9001,484000,0.49457
2002-09-03,58.75013,59.88012,49.75011,50.4501,385400,0.4902
2002-08-01,56.70012,62.15012,50.83011,59.50013,420600,0.57673
2002-07-01,60.60013,66.44015,52.90011,56.95012,826300,0.55201
2002-06-03,73.80016,74.00014,57.90012,60.55012,962000,0.58691
2002-05-01,85.75018,86.35018,74.60014,75.80016,648900,0.73318
2002-04-01,87.50018,93.15019,84.17018,86.00018,366300,0.83184
2002-03-01,87.00018,90.97019,83.92018,88.25018,349900,0.8536
2002-02-01,86.00018,89.96018,79.24017,87.15018,564700,0.84159
2002-01-02,89.95019,90.80019,82.40018,86.50018,550000,0.83531
2001-12-03,89.75018,97.0002,88.50018,89.75018,378200,0.8667
2001-11-01,87.91019,92.85018,87.50018,90.00018,201000,0.86785
2001-10-01,94.05019,98.90019,87.75018,87.90018,332400,0.8476
2001-09-04,102.75022,104.60022,86.60018,94.30019,504400,0.90931
2001-08-01,108.75022,110.94024,100.0002,103.25022,378500,0.99422
2001-07-02,108.25022,111.25024,104.00021,107.75021,354600,1.03755
2001-06-01,105.25022,110.60022,100.65022,108.75022,458900,1.04718
2001-05-01,104.00021,106.60023,100.30021,105.50022,371400,1.01457
2001-04-02,93.5002,106.65022,89.50018,105.00022,453200,1.00976
2001-03-01,92.45019,97.4002,86.15018,93.5002,548000,0.89917
2001-02-01,105.50022,107.20023,89.50018,93.45019,533000,0.89731
2001-01-02,89.90018,106.60023,85.16016,105.50022,466300,1.01301
2000-12-01,91.4002,101.46022,80.60017,90.00018,583400,0.86418
2000-11-01,105.00022,105.00022,87.00018,90.30019,384100,0.86593
2000-10-02,111.20023,113.20025,85.50018,105.50022,505800,1.01169
2000-09-01,116.00024,122.87527,103.93771,110.70023,483400,1.06156
2000-08-01,111.62523,118.25024,108.12523,116.00024,351200,1.11124
2000-07-03,100.7502,128.50027,100.7502,111.37523,505700,1.06694
2000-06-01,106.75021,114.62524,100.18771,100.2971,326100,0.96081
2000-05-01,102.00022,110.25024,96.7502,106.00022,427000,1.01429
2000-04-03,110.50024,112.25024,89.75018,102.00022,546100,0.97601
2000-03-01,106.50022,118.00024,99.0002,111.00024,606800,1.06213
2000-02-01,107.00021,113.25024,93.6252,105.50022,665700,1.00832
2000-01-03,126.12527,128.25027,99.06271,104.00021,1152800,0.99398
